mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,band_0_80_mean,band_0_80_std,band_80_200_mean,band_80_200_std,band_200_800_mean,band_200_800_std,label
-111.83536,126.12656,10.445655,41.50539,-6.4427557,20.755432,-8.456227,17.01603,-0.81439835,12.10946,1.8063773,12.842356,0.98026097,22.395971,10.545768,14.008556,9.221898,11.955202,7.126188,7.074761,4.4751816,6.430528,3.6049469,5.0543685,7.716503,3.0203505,71.866005,136.88438,9.09679,5.141445,1.8122513,1.7471569,2
-76.356926,112.232086,-26.682762,14.220478,15.976774,37.031796,-14.755375,20.701195,-11.841736,16.738739,-7.180477,10.43134,-0.8139237,13.817239,7.54796,10.667619,6.70578,6.382707,5.8862443,6.0609484,5.3409586,5.48682,4.8900075,4.978892,4.7348695,3.8263853,57.89094,106.98671,6.060108,2.4980597,2.1198308,1.7632664,2
-86.59044,121.336365,-22.175266,27.305895,13.839249,30.113634,-5.651326,18.977753,-1.2433633,12.386313,-6.249602,15.371948,0.10566902,11.414423,4.7713704,5.9272256,4.3363724,7.652881,5.6619716,3.6773062,4.805093,6.100362,5.327294,3.8730755,5.0326686,3.9183943,68.40604,120.82649,6.645803,4.5146646,1.430292,0.9615121,1
-93.68348,120.37779,-27.843239,27.678396,16.474384,34.645462,-7.825072,22.385254,-4.796027,9.939556,-1.5220938,18.233473,-3.4896967,9.087826,6.562164,7.921953,4.725847,5.792562,5.014266,5.1421022,4.878737,3.6604939,3.9882526,3.919714,2.8081775,3.6153896,70.67615,128.50722,5.623103,8.404032,0.87867296,0.5710772,1
-47.685516,104.815956,-23.974243,25.135397,8.470962,28.420918,-8.525675,19.121935,-14.476643,7.0195346,-1.4373646,14.228741,-7.7130957,8.572289,5.9258285,5.838484,5.049303,6.593701,6.738007,4.3260574,4.5969825,5.5610995,5.1688094,4.8326683,3.0689096,3.9186947,60.34307,116.26898,10.187338,16.686953,1.770459,1.082134,1
-96.29828,108.31517,-25.180708,33.422108,13.88863,36.482037,-3.3504252,23.561754,-2.985016,9.919712,-3.811572,15.445377,0.6698543,10.69986,7.8483667,7.4746833,4.562121,7.4754267,6.632876,5.7541595,5.159878,4.447077,5.417479,4.7321196,4.735096,3.2600935,55.112465,101.54297,8.338316,5.9113994,1.70663,1.0936763,1
-86.56372,122.5128,-19.174185,29.017183,13.870464,32.5923,-6.9042196,21.87574,-6.716073,7.6333013,-2.00488,19.21973,-0.383371,8.791551,6.2746944,6.7109265,4.236091,5.8951893,5.8226447,4.7916083,5.1972275,4.7418046,3.694757,4.4395185,4.311938,3.2289636,76.90604,133.68149,7.305799,2.8071916,1.2023801,1.0140864,1
-87.62548,120.42701,-23.30262,26.747292,17.162994,37.92812,-8.922573,17.365618,1.660295,5.7672534,-3.2726946,18.661335,-3.3407962,8.439168,5.0378036,6.9481316,4.195641,5.356467,6.067096,4.9678445,4.945345,5.428957,5.8253455,4.6534457,5.4765677,4.606139,68.68425,126.55333,6.553681,4.974441,1.4840727,0.9931672,1
-80.4455,123.02846,-22.052294,27.87042,11.804351,35.696777,-13.660109,12.635709,-3.4637146,4.9215226,-1.1676726,12.236828,-4.302133,9.104896,6.6474395,7.9746213,4.0943604,5.4531236,4.528325,5.4343853,3.8879216,3.9155216,5.3830376,2.7988544,4.200604,3.9816134,64.855934,123.32239,2.7643716,1.5667979,1.8877109,2.1176994,1
-45.89605,109.69602,-23.236656,25.771116,3.3715544,27.809608,-12.924242,14.144221,-8.2962475,5.1669264,-2.6401656,14.899224,-4.534163,14.08868,5.68201,9.16385,6.9490094,7.8902383,5.7618513,7.3463054,5.8912024,4.8233333,4.803632,4.066796,3.9724388,6.527736,56.732635,105.86673,9.06875,9.263523,2.4458783,1.929751,1
